rm;titulo;id_projeto;projeto;tipo_rm;is_backlog
14812;CRIAR RELATÓRIO DE INVENTÁRIO DE MATERIAIS;61;SIG - Sistema Informações Gerenciais;Atendimento;1
14817;RADAR COMPESA - SOBREPOR DADOS NO GSAN;17;GSAN;Atendimento;1
14832;===HYPERION===;57;ITC ;Evoluções e Novos Projetos;1
14855;Dashboard :: Gestão do Contrato de Performance;61;SIG - Sistema Informações Gerenciais;Evoluções e Novos Projetos;1
14869;Recorrência taxa mínima - código 42;17;GSAN;Corretiva;1
14911;[COMERCIAL2] Criar visão operacional das RAs;38;BI Desenvolvimento;Evoluções e Novos Projetos;1
14947;Mensagem do Erro no Calendário de Abastecimento do SIM;20;SIM;Atendimento;1
14960;[GESTAO] Adicionar a Fonte de Recurso do Realizado;38;BI Desenvolvimento;Evolutiva;1
14968;[COMERCIAL] Inserir todos os RAs e não apenas os que tem imóvel;38;BI Desenvolvimento;Evolutiva;1
14986;O SISTEMA ESTÁ ACEITANDO IMPLANTAR O MESMO HIDRÔMETRO EM DUAS MATRÍCULAS;17;GSAN;Atendimento;1
14991;Requisitos Contrato de Performance do Varejo;17;GSAN;Evolutiva;1
14996;Marcar no GSAN as matriculas que foram enviada SMS1 SMS2 e Tele Cobrança;17;GSAN;Evolutiva;1
15025;182 - RETIFICAR CONJUNTO CONTAS CONSUMO;17;GSAN;Corretiva;1
15035;NUMERO DE LIGAÇÕES POR PERFIL;61;SIG - Sistema Informações Gerenciais;Atendimento;1
15049;[COMERCIAL] Quantitativo de negativação está multiplicado;38;BI Desenvolvimento;Evoluções e Novos Projetos;1
15051;Atualização Cadastral Prefeituras;17;GSAN;Corretiva;1
15170;Exclusão de Tarifas Inativas da Lista de Tarifas;17;GSAN;Corretiva;1
15180;Comando Recorte Sul;17;GSAN;Corretiva;1
15181;ACOMPANHAMENTO PROJETO ÁGUA DA COMPESA;38;BI Desenvolvimento;Atendimento;1
15227;Projeto RFE - Ampliação do Campo de Observação;65;RFE - Relatório Funcional do Empregado;Evolutiva;1
15229;Projeto RFE - Importações de Planilhas Mensais;65;RFE - Relatório Funcional do Empregado;Evolutiva;1
15230;Projeto RFE - Campo de Medida Disciplinar;65;RFE - Relatório Funcional do Empregado;Evolutiva;1
15231;Projeto RFE - Informação do número do CID;65;RFE - Relatório Funcional do Empregado;Evolutiva;1
15232;Projeto RFE - Resumo de Status de Estabilidade;65;RFE - Relatório Funcional do Empregado;Evolutiva;1
15257;===NETBASE===;57;ITC ;Evoluções e Novos Projetos;1
15264;Trâmite de R.A;17;GSAN;Corretiva;1
15277;Grupo 40  - Novo Vencimento;17;GSAN;Evolutiva;1
15317;Calendário de Abastecimento;20;SIM;Atendimento;1
15324;[PLANO DE METAS] Melhoria da Imagem;38;BI Desenvolvimento;Atendimento;1
15350;[COMERCIAL] Verificar a memória de cálculo da safra arrecadação;38;BI Desenvolvimento;Evoluções e Novos Projetos;1
15352;simbolo para med individualizada;17;GSAN;Evolutiva;1
15376;Alterar geração de dados para o SIM;17;GSAN;Evolutiva;1
15390;Geração de Extratos de Débitos CEASA;17;GSAN;Atendimento;1
15392;[COMERCIAL] Criar Visão acumulada anual de Faturamento e Arrecadação;38;BI Desenvolvimento;Evoluções e Novos Projetos;1
15419;[PREMISSAS] Carregar as Metas das Premissas de 2017;38;BI Desenvolvimento;Atendimento;1
15431;INSERIR NOVOS SERVIÇOS  NO GSANEOS;17;GSAN;Evolutiva;1
15460;INCLUIR NEGOCIAÇÃO DE DÉBITO NO GSANEOS;17;GSAN;Evolutiva;1
15475;[COMERCIAL] Criar visão de régua de cobrança;38;BI Desenvolvimento;Evoluções e Novos Projetos;1
15480;[OPERACIONAL] Relógio de TMA está indisponível;38;BI Desenvolvimento;Evoluções e Novos Projetos;1
15543;Inclusão de Matrículas no Cadastro de Adesão ao DÉBITO AUTOMÁTICO;61;SIG - Sistema Informações Gerenciais;Atendimento;1
15555;[COMERCIAL] Gerar visão dos clientes que não pagaram este mês, mas pagaram mes anterior;38;BI Desenvolvimento;Evoluções e Novos Projetos;1
15613;REFORMULAÇÃO DO FUNCIONALIDADE "ATUALIZAR DADOS DO CLIENTE" NA LOJA VIRTUAL;17;GSAN;Evolutiva;1
15656;INCLUIR CARTA DE COBRANÇA COMO PREDECESSORA;17;GSAN;Evolutiva;1
15659;[COMERCIAL] Inserção de Aba e Tabelas para Análise no BI COMERCIAL;38;BI Desenvolvimento;Evoluções e Novos Projetos;1
15794;INSERÇÃO DE INFORMAÇÕES SOBRE EXCLUSÃO DA TS;17;GSAN;Evolutiva;1
15797;[COMERCIAL] Criar gráfico  do Faturamento / Arrecadação de Água e Esgoto no BI / Arrecadação;38;BI Desenvolvimento;Evoluções e Novos Projetos;1
15833;IMOVEL CORTADO COBRADO COMO TARIFA NORMAL CHEIA;17;GSAN;Atendimento;1
15835;Melhorias no GSAN AC - acréscimo de filtros na consulta;17;GSAN;Evolutiva;1
15842;Criar novas críticas no Virtual II para quando ocorrer aumento de faturamento;17;GSAN;Evolutiva;1
15875;[PROJ AGUA COMPESA] acrescentar negativacao na area de cobrança;38;BI Desenvolvimento;Evoluções e Novos Projetos;1
15896;Recuperação de arquivo retorno atualização cadastral setor 880, Garanhuns;17;GSAN;Atendimento;1
15927;Revisão e redefinição de todas as regras de perfis do almoxarifado(Suprimento);3;Alpha;Atendimento;1
15935;[COMERCIAL] Ajustar visões de Arrecadação;38;BI Desenvolvimento;Correções;1
15941;Verificar importação da tabela de custos;28;SIC - Sist. Integrados Compesa;Correções;1
15945;Boletim Varejo - Indicadores de Performance do Varejo;17;GSAN;Evolutiva;1
15954;Processo 332 - GERAR SCORE REGUA COBRANCA;17;GSAN;Corretiva;1
15967;[COMERCIAL] Inclusão de filtros no BI;38;BI Desenvolvimento;Evoluções e Novos Projetos;1
15985;===PETASO===;57;ITC ;Evoluções e Novos Projetos;1
16059;convênios, Pró-criança, hospital do câncer e fundação terra;17;GSAN;Atendimento;1
16078;===CICLOPE===;57;ITC ;Evoluções e Novos Projetos;1
16085;Kit Cas;17;GSAN;Atendimento;1
16105;47 - GERAR RELATORIO MANTER CLIENTE;17;GSAN;Corretiva;1
16111;[COMERCIAL] Criar visão para faturas em revisão;38;BI Desenvolvimento;Evoluções e Novos Projetos;1
16150;Atualização de Documentação - Novo Contrato do Cadastro (RM14046);17;GSAN;Evolutiva;1
16162;[PROJ AGUA COMPESA] Validar valores de Arrecadação;38;BI Desenvolvimento;Evoluções e Novos Projetos;1
16166;Trava na Previsão por Lotação_ GHE;32;GHE - Gestão de Horas Extras;Evoluções e Novos Projetos;1
16187;Automatizar Ciclo Processo;38;BI Desenvolvimento;Evoluções e Novos Projetos;1
16188;Lean Six Sigma :: Cadastro :: Alteração na funcionalidade de Novo Cliente;17;GSAN;Evolutiva;1
16189;[COMERCIAL] Ver matrículas com RAs com problema;38;BI Desenvolvimento;Evoluções e Novos Projetos;1
16191;[COMERCIAL] Fazer ajustes na visão de arrecadação do Comercial;38;BI Desenvolvimento;Evoluções e Novos Projetos;1
16193;Ver possibilidade de integração com IBGE;38;BI Desenvolvimento;Evoluções e Novos Projetos;1
16195;[COMERCIAL] Passar o Analiser no Comercial para otimizá-lo;38;BI Desenvolvimento;Evoluções e Novos Projetos;1
16196;[COMERCIAL] Migrar visão de mapa de RA para o novo comercial;38;BI Desenvolvimento;Evoluções e Novos Projetos;1
16197;[COMERCIAL] Ajustar valores de TMA no módulo de atendimento;38;BI Desenvolvimento;Evoluções e Novos Projetos;1
16202;Desenvolvimento aplicação android para incremento de faturamento;17;GSAN;Evolutiva;1
16231;Emissão carta de cobrança;17;GSAN;Evolutiva;1
16242;[COMERCIAL] Gráfico da meta;38;BI Desenvolvimento;Evoluções e Novos Projetos;1
16243;[COMERCIAL] Gráfico de Alcance;38;BI Desenvolvimento;Evoluções e Novos Projetos;1
16244;[COMERCIAL] Verificar divergência do número de ligações/economias de esgoto - Jaboatão dos Guararapes;38;BI Desenvolvimento;Evoluções e Novos Projetos;1
16249;[COMERCIAL] Criar legendas para os diversos campos do analítico;38;BI Desenvolvimento;Evoluções e Novos Projetos;1
16250;[COMERCIAL] Permitir ver no analítico os outros itens da conta;38;BI Desenvolvimento;Evoluções e Novos Projetos;1
16251;[COMERCIAL] Ver possibilidade de exportar as imagens dos gráficos no BI;38;BI Desenvolvimento;Evoluções e Novos Projetos;1
16252;[COMERCIAL] Permitir ver a arrecadação corrente;38;BI Desenvolvimento;Evoluções e Novos Projetos;1
16253;[COMERCIAL] Criar área de análise do faturamento em relação ao mês anterior;38;BI Desenvolvimento;Evoluções e Novos Projetos;1
16278;NOVOS ITENS - CONTRATO DE LEITURA;17;GSAN;Evolutiva;1
16279;[PROJ AGUA COMPESA] Criar visão de faturas não pagas no mês;38;BI Desenvolvimento;Evoluções e Novos Projetos;1
16286;Questionário nas ocorrências de AC e BC;17;GSAN;Evolutiva;1
16287;Abrir um registro de atendimento pelo smartphone para "FISCALIZAR IMÓVEL VIZINHO";17;GSAN;Evolutiva;1
16314;[COMERCIAL] Criar indicador de Adimplência acumulada;38;BI Desenvolvimento;Evoluções e Novos Projetos;1
16316;[COMERCIAL] Faturamento de tarifa social em 201605 e 201604 não bate;38;BI Desenvolvimento;Evoluções e Novos Projetos;1
16340;Ajuste Emissão Relatório Histograma de Esgoto por Economia;17;GSAN;Corretiva;1
16358;TACAIMBÓ :: ALTERAÇÃO DAS SITUAÇÃO DA LIGAÇÃO DE ESGOTO PARA LIGADO;17;GSAN;Atendimento;1
16377;ATUALIZAÇÃO DE CONSUMO INFORMADO NAO RECONHECIDA PELO SISTEMA;17;GSAN;Atendimento;1
16396;Documentar em UC o WebService de Busca de Dados na RF (DataBusca);17;GSAN;Evolutiva;1
16455;SUBDIVIDIR ROTAS ALTERNATIVAS;17;GSAN;Atendimento;1
16520;Inclusão e remoção de imóveis dos códigos 42 e 43;17;GSAN;Evolutiva;1
16549;GSANAS | Qualificação das OS encerradas em Campo;17;GSAN;Evolutiva;1
16574;[COMERCIAL] Rever cancelamentos e retificações no BI;38;BI Desenvolvimento;Evoluções e Novos Projetos;1
16578;[FIDECOM] - Projeto de desenvolvimento do BI - FIDECOM;38;BI Desenvolvimento;Evoluções e Novos Projetos;1
16579;[FIDECOM] - Módulo de Comunicação/MKT;38;BI Desenvolvimento;Evoluções e Novos Projetos;1
16580;[FIDECOM] - Módulo de Gestão do Relacionamento;38;BI Desenvolvimento;Evoluções e Novos Projetos;1
16581;[FIDECOM] - Módulo de Vendas/Comercial;38;BI Desenvolvimento;Evoluções e Novos Projetos;1
16582;[FIDECOM] - Módulo de Fidelização da Base;38;BI Desenvolvimento;Evoluções e Novos Projetos;1
16583;[FIDECOM] - Módulo de Treinamento;38;BI Desenvolvimento;Evoluções e Novos Projetos;1
16616;Ajuste consulta Imóveis Contato conta fixa no Relatório Consumo Excedente;17;GSAN;Corretiva;1
16644;[PREMISSAS] Ajustar o BI para colapso;38;BI Desenvolvimento;Evoluções e Novos Projetos;1
16655;Extrato de Débito Total sem Boleto pagável.;17;GSAN;Corretiva;1
16657;Relatório do SIG - verificar informações que constam no relatório;17;GSAN;Corretiva;1
16664;GERAÇÃO DE NOVO LAYOUT PARA COMPESAPREV;3;Alpha;Evoluções e Novos Projetos;1
16667;Inclusão do Campo DATA DE INCLUSÃO DO ARQUIVO tela Manter Registro de Atendimento;17;GSAN;Evolutiva;1
16675;11 - GERAR RELATORIO MANTER IMOVEL;17;GSAN;Corretiva;1
16748;Alteração de Subcategoria no processo de atualização cadastral;17;GSAN;Atendimento;1
16753;[PROJ AGUA COMPESA] Ao clicar no pin deve mostrar: matricula, endereço, agente;38;BI Desenvolvimento;Evoluções e Novos Projetos;1
16759;Relatório Ficha de Compensação BB;17;GSAN;Corretiva;1
16778;Fiscalização de imóvel - inserir nº de HD;17;GSAN;Evolutiva;1
16779;[COMERCIAL] Criar gráfico META x REALIZADO de Adimplência;38;BI Desenvolvimento;Evoluções e Novos Projetos;1
16790;PROBLEMAS NO FATURAMENTO DA MATRICULA DO MACRO 16218073;17;GSAN;Corretiva;1
16803;ALTERAÇÃO NA ROTINA DE DESCONTO VALE TRANSPORTE - FALTA;3;Alpha;Atendimento;1
16804;Processo 66 - ENCERRAR FATURAMENTO PARTE 2;17;GSAN;Corretiva;1
16834;Novo campo no GSAN: economias previstas em projeto;17;GSAN;Evolutiva;1
16852;Erro na alteração de categoria, subcategoria e economia no processo de atualização cadastral - não está alterando aumento de faturamento;17;GSAN;Corretiva;1
16867;Atualização do Jboss do GSAN;17;GSAN;Atendimento;1
16925;Revisão do Grupo de Acesso da GCM;17;GSAN;Corretiva;1
16968;Erro - qualquer O.S pode ser encerrada por qualquer unidade central de atendimento ou usuário com permissão especial "TRAMITAR RA PARA QUALQUER UNIDADE";17;GSAN;Corretiva;1
16974;Não permitir tramite de R.A sem localidade para unidade sob contrato da GMR;17;GSAN;Evolutiva;1
16994;Campanha de atualização cadastral;17;GSAN;Atendimento;1
17002;GSANEOS HIDROMETRIA | Campo número do hidrômetro não funciona;17;GSAN;Corretiva;1
17029;[COMERCIAL] Criar visão da arrecadação do mes no momento (no dia);38;BI Desenvolvimento;Evoluções e Novos Projetos;1
17030;[COMERCIAL] Substituir grafico lateral FATURAS PAGAS NO MES por adimplencia atual (Arrecadação);38;BI Desenvolvimento;Evoluções e Novos Projetos;1
17051;Bloqueio no GSAN para imóveis na situação de cobrança - Em Cobrança Judicial;17;GSAN;Evolutiva;1
17067;Emissão de proposta de parcelamento RD 13/2017, através da ota de leitura;17;GSAN;Atendimento;1
17069;Alteração GSAN AC - Ajustes na Tela de Fiscalização;17;GSAN;Evolutiva;1
17076;Gsan modulo fiscalização cadastro não inseriu algumas matriculas.;17;GSAN;Corretiva;1
17096;PROJETO ÁGUA DA COMPESA PETROLINA;17;GSAN;Evolutiva;1
17135;Solicito a correção do relatório de gerado pelo BI;38;BI Desenvolvimento;Evoluções e Novos Projetos;1
17141;Erro tela de abertura de RA de Devolução por Duplicidade de Pagamento;17;GSAN;Corretiva;1
17153;[COMERCIAL] Criar visão diária de arrecadação (Bioca);38;BI Desenvolvimento;Evoluções e Novos Projetos;1
17169;Programa Com + Água 2 :: Extração de Dados para o Sisper;17;GSAN;Atendimento;1
17173;Acesso GSAN;17;GSAN;Corretiva;1
17175;Faturamento - Matrículas com Anormalidade de Consumo;61;SIG - Sistema Informações Gerenciais;Atendimento;1
17218;Alteração massa de dados variáveis;17;GSAN;Evolutiva;1
17228;Projeto Agua da Compesa - View - Varejo;17;GSAN;Atendimento;1
17237;Patrimônio - Análise  e testes da  parametrizações para gestão do Ativo fixo e do fluxo do processo;3;Alpha;Evoluções e Novos Projetos;1
17248;consultar nosso número e pelo nsa;17;GSAN;Corretiva;1
17270;Verificar valores de Retificação e Cancelamento no BI;38;BI Desenvolvimento;Evoluções e Novos Projetos;1
17274;Módulo II :: SIPLAN :: Automação da Planilha de Cálculo das Metas;60;SIPLAN - Sistema Planejamento;Evoluções e Novos Projetos;1
17275;Módulo I :: SIPLAN :: Inclusão de Ticket Médio por Premissa no Painel Diário;60;SIPLAN - Sistema Planejamento;Evoluções e Novos Projetos;1
17304;BOLETIM DE MEDIÇÃO - PROJETO ÁGUA DA COMPESA -  PETROLINA;17;GSAN;Evolutiva;1
17312;[COMERCIAL] Valor divergente de Volume Consumido BI x GSAN;38;BI Desenvolvimento;Evoluções e Novos Projetos;1
17332;manter registro;17;GSAN;Corretiva;1
17349;Visão Estratégica do Plano de Metas :: Painel de Análise de Fenômeno;38;BI Desenvolvimento;Evoluções e Novos Projetos;1
17357;[COMERCIAL] Substituir "Mot Sit Esp Fatur" por "Mot Entrada Sit Esp Fat" e "Mot Saída Sit Esp Fat";38;BI Desenvolvimento;Evoluções e Novos Projetos;1
17359;Integração de dados faturamento - colecta;61;SIG - Sistema Informações Gerenciais;Evoluções e Novos Projetos;1
17404;TRAVA NO SISTEMA PARA CLIENTES GRANDE E CORPORATIVOS;17;GSAN;Evolutiva;1
17428;Módulo de Orçamentos de Engenharia;3;Alpha;Atendimento;1
17433;[COMERCIAL] Criar visões de reversão de faturamento;38;BI Desenvolvimento;Evoluções e Novos Projetos;1
17439;FATURA 08/2017 INCLUSA NO PARCELAMENTO E CONSTA NA TELA DE DEBITO - 60567034;17;GSAN;Corretiva;1
17444;[COMERCIAL] Somatório dos valores de Faturamento por categoria na aba COMPARATIVO é maior que o realizado;38;BI Desenvolvimento;Evoluções e Novos Projetos;1
17524;CRIAR UMA ORDEM DE SERVIÇO PARA FISCALIZAÇÃO DE SERVIÇOS DE LEITURA;17;GSAN;Evolutiva;1
17617;[REDUÇÃO DE RETIFICAÇÕES E CANCELAMENTOS DE CONTAS] Abrir redmines para travar número de retificações por matricula;70;Lean Six Sigma;Desenvolvimento;1
17618;[REDUÇÃO DE RETIFICAÇÕES E CANCELAMENTOS DE CONTAS] Elaborar treinamento em retificações e cancelamento de contas;70;Lean Six Sigma;Desenvolvimento;1
17627;Atualiar o S I G;61;SIG - Sistema Informações Gerenciais;Atendimento;1
17630;Retificações Usuário - Limite por Matrícula;17;GSAN;Evolutiva;1
17680;[Redução do TMA de novas ligações de água na RMR] - Etapa Definir;70;Lean Six Sigma;Desenvolvimento;1
17681;Erro - O.S de devolução gerada repetidas vezes na equipe programada do dia;17;GSAN;Atendimento;1
17683;Correção nos relatórios dos Ambientes Virtuais - R1446, R1447-A e R1447-B;17;GSAN;Corretiva;1
17692;VERIFICAR AUSENCIA DAS LEITURAS NA LIGAÇÃO DE ESGOTO DA MATRICULA 55016585;17;GSAN;Corretiva;1
17702;Projeto Sistema de Padronização;72;Controle de Normas;Evoluções e Novos Projetos;1
17703;Funcionalidade Validar Serviço Executado - Exibir mensagem "Deseja encerrar o Registro de Atendimento?";17;GSAN;Evolutiva;1
17728;Alteração - Fechamento do mês;28;SIC - Sist. Integrados Compesa;Evoluções e Novos Projetos;1
17763;PROBLEMA NAS RETIFICAÇÕES QUANDO HÁ FATURAMENTO DE ESGOTO;17;GSAN;Corretiva;1
17801;Não permitir tramite de R.A sem localidade para unidade sob contrato da GMR - Tramitar Conjunto de Registro de Atendimento;17;GSAN;Evolutiva;1
17811;GSANAS | Limpar dados e cachê do aplicativo;17;GSAN;Atendimento;1
17812;[PREMISSAS] Novas ligações;38;BI Desenvolvimento;Evoluções e Novos Projetos;1
17822;[PLANO DE METAS] Margem Ebitda - Com Arrecadação + Despesa + Ebitda - Construção de Tabela;38;BI Desenvolvimento;Atendimento;1
17824;Software de solicitação de serviços;28;SIC - Sist. Integrados Compesa;Evoluções e Novos Projetos;1
17842;Matrícula 10584450 na RD 12/2016;17;GSAN;Atendimento;1
17849;Falha no cálculo da conta de imóveis de Petrolina;17;GSAN;Atendimento;1
17870;Encerrar O.S - Não fazer a pergunta "Deseja encerrar o Registro de Atendimento associado à Ordem de Serviço?" para usuário terceirizado;17;GSAN;Corretiva;1
17890;Remover e-mails errados;17;GSAN;Atendimento;1
17891;RA Cancelamentos - RD 12/2016;17;GSAN;Evolutiva;1
17898;PERMITIR AVERBAÇÃO NAS CARTEIRAS VAREJO E CONDOMÍNIOS;17;GSAN;Atendimento;1
17906;Acompanhamento e análise de Resultado do IDEP;28;SIC - Sist. Integrados Compesa;Evoluções e Novos Projetos;1
17913;Forma de Pagamento de Novo Contrato: Cível e Juizados;13;JUSCOMPESA;Evoluções e Novos Projetos;1
17918;Software participação e avaliação visitas mediadas Universo Compesa;28;SIC - Sist. Integrados Compesa;Evoluções e Novos Projetos;1
17932;Alterar nome da especificação nos RAs anteriores a 19/05/2017;17;GSAN;Atendimento;1
17934;ALTERAR REGRA DO BOLETIM CONTRATO DE VAREJO;17;GSAN;Evolutiva;1
17953;[PREMISSAS] Suspensão;38;BI Desenvolvimento;Evoluções e Novos Projetos;1
17985;Correção do BM extraído através do SIG;61;SIG - Sistema Informações Gerenciais;Correções;1
17991;ALTERAÇÃO DE SENHA P/AGENDAMENTO PORTAL COMPESA;28;SIC - Sist. Integrados Compesa;Atendimento;1
18015;gerar relatório de para do pre-gsan.;17;GSAN;Atendimento;1
18089;[COMERCIAL] Incluir a arrecadação por água, esgoto e indiretos;38;BI Desenvolvimento;Evoluções e Novos Projetos;1
18092;[COMERCIAL] Mostrar o motivo do corte;38;BI Desenvolvimento;Evoluções e Novos Projetos;1
18100;Implantação do Módulo de Medicina e Segurança;3;Alpha;Atendimento;1
18101;Desenvolvimento - Cadastro Novo Cliente - Loja Virtual;17;GSAN;Desenvolvimento;1
18109;Criar caminho para que o Robô (consulta de CPF ao site da Receita) seja ligado e desligado pela GTC;17;GSAN;Evolutiva;1
18119;Carteira Petrolina;17;GSAN;Atendimento;1
18136;[FLUXO_CAIXA] Corrigir divergências encontradas em reunião;38;BI Desenvolvimento;Evoluções e Novos Projetos;1
18149;Relatório de doações;61;SIG - Sistema Informações Gerenciais;Evoluções e Novos Projetos;1
18152;Matrícula nova liberada do Pré-Gsan e não foi criada no GSAN;17;GSAN;Atendimento;1
