rm;id_projeto;projeto;tipo_rm;situacao_atual;situacao_inicial;situacao_final;transicao;criacao_rm;updated_on;is_backlog
8282;17;GSAN;Evolutiva;Reaberta;Aguardando Informação;;2014-04-04 10:30:44;2012-11-08 12:07:04;2018-05-28 15:40:13;1
8282;17;GSAN;Evolutiva;Reaberta;;;2014-04-15 10:59:00;2012-11-08 12:07:04;2018-05-28 15:40:13;1
8282;17;GSAN;Evolutiva;Reaberta;;Aguardando Informação;2014-07-11 01:57:01;2012-11-08 12:07:04;2018-05-28 15:40:13;1
8282;17;GSAN;Evolutiva;Reaberta;Aguardando Informação;Informação retornada;2015-06-10 16:54:57;2012-11-08 12:07:04;2018-05-28 15:40:13;1
8282;17;GSAN;Evolutiva;Reaberta;Informação retornada;Em análise;2015-06-10 16:55:54;2012-11-08 12:07:04;2018-05-28 15:40:13;1
8282;17;GSAN;Evolutiva;Reaberta;Em análise;Cancelada;2015-06-10 16:56:17;2012-11-08 12:07:04;2018-05-28 15:40:13;1
8282;17;GSAN;Evolutiva;Reaberta;Cancelada;Reaberta;2016-07-12 15:44:14;2012-11-08 12:07:04;2018-05-28 15:40:13;1
8602;32;GHE - Gestão de Horas Extras;Evolutiva;Em análise;Registrada;Em análise;2013-01-07 15:38:11;2013-01-07 09:33:01;2013-01-07 15:38:11;1
8671;32;GHE - Gestão de Horas Extras;Atendimento;Pronta para Homologação;Registrada;Pronta para Homologação;2013-03-28 11:55:54;2013-01-16 13:59:50;2013-03-28 11:55:54;1
8721;32;GHE - Gestão de Horas Extras;Atendimento;Pronta para Homologação;Registrada;Em análise;2013-02-27 10:15:01;2013-01-24 11:07:09;2013-03-28 11:53:00;1
8721;32;GHE - Gestão de Horas Extras;Atendimento;Pronta para Homologação;Em análise;Pronta para Homologação;2013-03-28 11:53:00;2013-01-24 11:07:09;2013-03-28 11:53:00;1
10719;17;GSAN;Evolutiva;Informação retornada;Registrada;Em análise;2015-06-04 17:07:40;2014-07-03 04:30:11;2018-05-03 11:27:27;1
10719;17;GSAN;Evolutiva;Informação retornada;Em análise;Aprovar Especificação Usuario;2015-06-05 16:24:00;2014-07-03 04:30:11;2018-05-03 11:27:27;1
10719;17;GSAN;Evolutiva;Informação retornada;Aprovar Especificação Usuario;Especificação Recusada;2015-07-03 14:55:22;2014-07-03 04:30:11;2018-05-03 11:27:27;1
10719;17;GSAN;Evolutiva;Informação retornada;Especificação Recusada;Em análise;2015-07-13 14:53:25;2014-07-03 04:30:11;2018-05-03 11:27:27;1
10719;17;GSAN;Evolutiva;Informação retornada;Em análise;Aguardando Informação;2015-11-06 15:24:54;2014-07-03 04:30:11;2018-05-03 11:27:27;1
10719;17;GSAN;Evolutiva;Informação retornada;Aguardando Informação;Informação retornada;2017-07-27 12:25:16;2014-07-03 04:30:11;2018-05-03 11:27:27;1
10981;17;GSAN;Corretiva;Cancelada;Registrada;Em análise;2015-06-11 15:00:45;2014-09-23 15:30:45;2018-05-11 14:50:55;1
10981;17;GSAN;Corretiva;Cancelada;Em análise;Analisada;2015-06-11 15:01:12;2014-09-23 15:30:45;2018-05-11 14:50:55;1
10981;17;GSAN;Corretiva;Cancelada;Analisada;Iniciada;2015-06-11 15:04:06;2014-09-23 15:30:45;2018-05-11 14:50:55;1
10981;17;GSAN;Corretiva;Cancelada;Iniciada;Inspeção Qualidade;2015-11-13 15:15:18;2014-09-23 15:30:45;2018-05-11 14:50:55;1
10981;17;GSAN;Corretiva;Cancelada;Inspeção Qualidade;Teste da Mudança;2015-12-16 11:41:32;2014-09-23 15:30:45;2018-05-11 14:50:55;1
10981;17;GSAN;Corretiva;Cancelada;Teste da Mudança;Cancelada;2018-05-11 14:50:56;2014-09-23 15:30:45;2018-05-11 14:50:55;1
11218;17;GSAN;Corretiva;Em análise;Registrada;Aguardando Informação;2014-12-29 09:59:47;2014-12-17 11:54:37;2018-01-22 13:10:03;1
11218;17;GSAN;Corretiva;Em análise;Aguardando Informação;Informação retornada;2015-08-13 17:33:24;2014-12-17 11:54:37;2018-01-22 13:10:03;1
11218;17;GSAN;Corretiva;Em análise;Informação retornada;Em análise;2017-12-12 14:23:45;2014-12-17 11:54:37;2018-01-22 13:10:03;1
11328;17;GSAN;Corretiva;Em análise;Registrada;Em análise;2015-02-04 16:42:52;2015-02-03 17:03:37;2017-02-21 15:36:26;1
11339;54;GSI - APOIO A GESTÃO;Atendimento;Pronta para Homologação;Registrada;Pronta para Homologação;2015-02-11 09:48:53;2015-02-10 16:39:16;2015-02-11 09:48:53;1
11349;17;GSAN;Corretiva;Em análise;Registrada;Em análise;2015-02-20 15:09:22;2015-02-13 14:10:41;2017-02-21 15:36:31;1
11357;17;GSAN;Evolutiva;Cancelada;Registrada;Aguardando Informação;2015-03-17 09:53:39;2015-02-20 17:17:12;2018-01-09 09:32:45;1
11357;17;GSAN;Evolutiva;Cancelada;Aguardando Informação;Informação retornada;2015-04-02 08:40:47;2015-02-20 17:17:12;2018-01-09 09:32:45;1
11357;17;GSAN;Evolutiva;Cancelada;Informação retornada;Em análise;2017-02-09 09:45:54;2015-02-20 17:17:12;2018-01-09 09:32:45;1
11357;17;GSAN;Evolutiva;Cancelada;Em análise;Aguardando Informação;2017-02-09 09:46:07;2015-02-20 17:17:12;2018-01-09 09:32:45;1
11357;17;GSAN;Evolutiva;Cancelada;Aguardando Informação;Informação retornada;2017-02-09 09:46:47;2015-02-20 17:17:12;2018-01-09 09:32:45;1
11357;17;GSAN;Evolutiva;Cancelada;Informação retornada;Em análise;2017-11-17 15:41:35;2015-02-20 17:17:12;2018-01-09 09:32:45;1
11357;17;GSAN;Evolutiva;Cancelada;Em análise;Cancelada;2018-01-09 09:32:45;2015-02-20 17:17:12;2018-01-09 09:32:45;1
11523;16;SGCQ;Corretiva;Aguardando Informação;Registrada;Em análise;2015-08-03 17:19:59;2015-03-30 10:02:04;2016-01-13 11:29:30;1
11523;16;SGCQ;Corretiva;Aguardando Informação;Em análise;Iniciada;2015-08-03 17:20:23;2015-03-30 10:02:04;2016-01-13 11:29:30;1
11523;16;SGCQ;Corretiva;Aguardando Informação;Iniciada;Aguardando Informação;2016-01-13 11:29:30;2015-03-30 10:02:04;2016-01-13 11:29:30;1
11665;17;GSAN;Corretiva;Em análise;Registrada;Em análise;2015-09-22 10:46:32;2015-05-13 14:34:44;2017-02-21 15:36:32;1
11709;17;GSAN;Corretiva;Teste da Mudança;Registrada;Em análise;2015-06-02 16:17:07;2015-05-26 08:49:29;2015-10-30 17:24:32;1
11709;17;GSAN;Corretiva;Teste da Mudança;Em análise;Analisada;2015-06-03 10:46:26;2015-05-26 08:49:29;2015-10-30 17:24:32;1
11709;17;GSAN;Corretiva;Teste da Mudança;Analisada;Em análise;2015-06-03 10:55:37;2015-05-26 08:49:29;2015-10-30 17:24:32;1
11709;17;GSAN;Corretiva;Teste da Mudança;Em análise;Analisada;2015-06-03 16:48:42;2015-05-26 08:49:29;2015-10-30 17:24:32;1
11709;17;GSAN;Corretiva;Teste da Mudança;Analisada;Iniciada;2015-08-20 11:28:21;2015-05-26 08:49:29;2015-10-30 17:24:32;1
11709;17;GSAN;Corretiva;Teste da Mudança;Iniciada;Concluída;2015-09-02 16:23:28;2015-05-26 08:49:29;2015-10-30 17:24:32;1
11709;17;GSAN;Corretiva;Teste da Mudança;Concluída;Iniciada;2015-09-02 16:26:01;2015-05-26 08:49:29;2015-10-30 17:24:32;1
11709;17;GSAN;Corretiva;Teste da Mudança;Iniciada;Inspeção Qualidade;2015-09-02 16:26:40;2015-05-26 08:49:29;2015-10-30 17:24:32;1
11709;17;GSAN;Corretiva;Teste da Mudança;Inspeção Qualidade;Teste da Mudança;2015-09-28 15:56:03;2015-05-26 08:49:29;2015-10-30 17:24:32;1
11709;17;GSAN;Corretiva;Teste da Mudança;Teste da Mudança;Aguardando Versão;2015-09-28 15:56:20;2015-05-26 08:49:29;2015-10-30 17:24:32;1
11709;17;GSAN;Corretiva;Teste da Mudança;Aguardando Versão;Pronta para Homologação;2015-09-30 09:30:10;2015-05-26 08:49:29;2015-10-30 17:24:32;1
11709;17;GSAN;Corretiva;Teste da Mudança;Pronta para Homologação;Testes de Integração;2015-10-06 11:24:01;2015-05-26 08:49:29;2015-10-30 17:24:32;1
11709;17;GSAN;Corretiva;Teste da Mudança;Testes de Integração;Inconsistencia de Teste;2015-10-06 15:29:52;2015-05-26 08:49:29;2015-10-30 17:24:32;1
11709;17;GSAN;Corretiva;Teste da Mudança;Inconsistencia de Teste;Em análise;2015-10-28 16:34:03;2015-05-26 08:49:29;2015-10-30 17:24:32;1
11709;17;GSAN;Corretiva;Teste da Mudança;Em análise;Iniciada;2015-10-28 16:34:14;2015-05-26 08:49:29;2015-10-30 17:24:32;1
11709;17;GSAN;Corretiva;Teste da Mudança;Iniciada;Inspeção Qualidade;2015-10-28 16:34:28;2015-05-26 08:49:29;2015-10-30 17:24:32;1
11709;17;GSAN;Corretiva;Teste da Mudança;Inspeção Qualidade;Iniciada;2015-10-28 16:36:25;2015-05-26 08:49:29;2015-10-30 17:24:32;1
11709;17;GSAN;Corretiva;Teste da Mudança;Iniciada;Inspeção Qualidade;2015-10-30 17:18:51;2015-05-26 08:49:29;2015-10-30 17:24:32;1
11709;17;GSAN;Corretiva;Teste da Mudança;Inspeção Qualidade;Teste da Mudança;2015-10-30 17:24:10;2015-05-26 08:49:29;2015-10-30 17:24:32;1
11917;3;Alpha;Evolutiva;Iniciada;Em análise;Iniciada;2015-08-14 09:59:32;2015-07-09 10:59:20;2016-03-17 15:03:51;1
11923;3;Alpha;Evoluções e Novos Projetos;Cancelada;Iniciada;Pronta para Homologação;2015-08-03 15:31:22;2015-07-09 14:35:26;2018-05-25 16:29:48;1
11923;3;Alpha;Evoluções e Novos Projetos;Cancelada;Pronta para Homologação;Cancelada;2018-05-25 16:29:48;2015-07-09 14:35:26;2018-05-25 16:29:48;1
11996;17;GSAN;Atendimento;Cancelada;Registrada;Em análise;2015-10-09 10:11:14;2015-07-22 11:14:19;2018-02-23 10:37:22;1
11996;17;GSAN;Atendimento;Cancelada;Em análise;Aguardando Informação;2015-10-09 10:13:06;2015-07-22 11:14:19;2018-02-23 10:37:22;1
11996;17;GSAN;Atendimento;Cancelada;Aguardando Informação;Informação retornada;2015-11-09 08:32:07;2015-07-22 11:14:19;2018-02-23 10:37:22;1
11996;17;GSAN;Atendimento;Cancelada;Informação retornada;Em análise;2017-02-09 08:36:01;2015-07-22 11:14:19;2018-02-23 10:37:22;1
11996;17;GSAN;Atendimento;Cancelada;Em análise;Aguardando Informação;2017-02-09 08:36:43;2015-07-22 11:14:19;2018-02-23 10:37:22;1
11996;17;GSAN;Atendimento;Cancelada;Aguardando Informação;Cancelada;2018-02-23 10:37:22;2015-07-22 11:14:19;2018-02-23 10:37:22;1
12217;17;GSAN;Evolutiva;Aguardando Informação;Registrada;Em análise;2015-08-21 10:03:31;2015-08-19 15:10:41;2018-03-19 13:42:53;1
12217;17;GSAN;Evolutiva;Aguardando Informação;Em análise;Aguardando Informação;2015-09-25 11:41:01;2015-08-19 15:10:41;2018-03-19 13:42:53;1
12217;17;GSAN;Evolutiva;Aguardando Informação;Aguardando Informação;Informação retornada;2015-09-28 07:31:02;2015-08-19 15:10:41;2018-03-19 13:42:53;1
12217;17;GSAN;Evolutiva;Aguardando Informação;Informação retornada;Em análise;2015-09-30 12:22:13;2015-08-19 15:10:41;2018-03-19 13:42:53;1
12217;17;GSAN;Evolutiva;Aguardando Informação;Em análise;Aguardando Informação;2017-12-27 10:35:06;2015-08-19 15:10:41;2018-03-19 13:42:53;1
12348;17;GSAN;Corretiva;Teste da Mudança;Registrada;Em análise;2015-09-08 09:14:02;2015-09-04 07:40:27;2015-12-30 16:05:49;1
12348;17;GSAN;Corretiva;Teste da Mudança;Em análise;Analisada;2015-09-08 12:03:21;2015-09-04 07:40:27;2015-12-30 16:05:49;1
12348;17;GSAN;Corretiva;Teste da Mudança;Analisada;Iniciada;2015-09-08 13:51:05;2015-09-04 07:40:27;2015-12-30 16:05:49;1
12348;17;GSAN;Corretiva;Teste da Mudança;Iniciada;Inspeção Qualidade;2015-09-08 16:01:17;2015-09-04 07:40:27;2015-12-30 16:05:49;1
12348;17;GSAN;Corretiva;Teste da Mudança;Inspeção Qualidade;Teste da Mudança;2015-12-28 15:22:56;2015-09-04 07:40:27;2015-12-30 16:05:49;1
12356;17;GSAN;Evolutiva;Cancelada;Registrada;Em análise;2015-09-15 16:42:14;2015-09-04 11:13:02;2018-01-09 15:43:01;1
12356;17;GSAN;Evolutiva;Cancelada;Em análise;Analisada;2015-09-17 09:42:54;2015-09-04 11:13:02;2018-01-09 15:43:01;1
12356;17;GSAN;Evolutiva;Cancelada;Analisada;Em análise;2015-09-17 09:43:56;2015-09-04 11:13:02;2018-01-09 15:43:01;1
12356;17;GSAN;Evolutiva;Cancelada;Em análise;Aprovar Especificação Usuario;2015-09-17 11:58:30;2015-09-04 11:13:02;2018-01-09 15:43:01;1
12356;17;GSAN;Evolutiva;Cancelada;Aprovar Especificação Usuario;Especificação Aprovada;2015-09-21 11:23:29;2015-09-04 11:13:02;2018-01-09 15:43:01;1
12356;17;GSAN;Evolutiva;Cancelada;Especificação Aprovada;Em análise;2018-01-09 15:39:41;2015-09-04 11:13:02;2018-01-09 15:43:01;1
12356;17;GSAN;Evolutiva;Cancelada;Em análise;Cancelada;2018-01-09 15:43:01;2015-09-04 11:13:02;2018-01-09 15:43:01;1
12358;17;GSAN;Evolutiva;Cancelada;Registrada;Em análise;2015-09-21 09:52:58;2015-09-04 11:15:50;2018-01-09 09:31:27;1
12358;17;GSAN;Evolutiva;Cancelada;Em análise;Cancelada;2018-01-09 09:31:27;2015-09-04 11:15:50;2018-01-09 09:31:27;1
12359;17;GSAN;Evolutiva;Cancelada;Registrada;Em análise;2015-09-22 09:26:58;2015-09-04 11:16:37;2018-01-09 09:29:59;1
12359;17;GSAN;Evolutiva;Cancelada;Em análise;Analisada;2015-09-25 10:55:06;2015-09-04 11:16:37;2018-01-09 09:29:59;1
12359;17;GSAN;Evolutiva;Cancelada;Analisada;Em análise;2015-10-05 10:24:30;2015-09-04 11:16:37;2018-01-09 09:29:59;1
12359;17;GSAN;Evolutiva;Cancelada;Em análise;Aprovar Especificação Usuario;2015-10-16 08:24:27;2015-09-04 11:16:37;2018-01-09 09:29:59;1
12359;17;GSAN;Evolutiva;Cancelada;Aprovar Especificação Usuario;Especificação Aprovada;2015-10-16 08:24:51;2015-09-04 11:16:37;2018-01-09 09:29:59;1
12359;17;GSAN;Evolutiva;Cancelada;Especificação Aprovada;Em análise;2015-10-19 10:32:03;2015-09-04 11:16:37;2018-01-09 09:29:59;1
12359;17;GSAN;Evolutiva;Cancelada;Em análise;Aprovar Especificação Usuario;2015-10-19 11:57:06;2015-09-04 11:16:37;2018-01-09 09:29:59;1
12359;17;GSAN;Evolutiva;Cancelada;Aprovar Especificação Usuario;Especificação Aprovada;2015-10-19 11:57:28;2015-09-04 11:16:37;2018-01-09 09:29:59;1
12359;17;GSAN;Evolutiva;Cancelada;Especificação Aprovada;Em análise;2015-10-22 14:05:04;2015-09-04 11:16:37;2018-01-09 09:29:59;1
12359;17;GSAN;Evolutiva;Cancelada;Em análise;Analisada;2015-10-22 14:05:26;2015-09-04 11:16:37;2018-01-09 09:29:59;1
12359;17;GSAN;Evolutiva;Cancelada;Analisada;Iniciada;2015-12-17 11:59:08;2015-09-04 11:16:37;2018-01-09 09:29:59;1
12359;17;GSAN;Evolutiva;Cancelada;Iniciada;Inspeção Qualidade;2015-12-30 15:50:55;2015-09-04 11:16:37;2018-01-09 09:29:59;1
12359;17;GSAN;Evolutiva;Cancelada;Inspeção Qualidade;Iniciada;2016-01-04 11:15:41;2015-09-04 11:16:37;2018-01-09 09:29:59;1
12359;17;GSAN;Evolutiva;Cancelada;Iniciada;Inspeção Qualidade;2016-01-20 09:55:56;2015-09-04 11:16:37;2018-01-09 09:29:59;1
12359;17;GSAN;Evolutiva;Cancelada;Inspeção Qualidade;Teste da Mudança;2016-01-22 09:39:36;2015-09-04 11:16:37;2018-01-09 09:29:59;1
12359;17;GSAN;Evolutiva;Cancelada;Teste da Mudança;Cancelada;2018-01-09 09:29:59;2015-09-04 11:16:37;2018-01-09 09:29:59;1
12360;17;GSAN;Evolutiva;Cancelada;Registrada;Em análise;2015-11-13 09:17:05;2015-09-04 11:17:28;2018-07-17 09:50:54;1
12360;17;GSAN;Evolutiva;Cancelada;Em análise;Aprovar Especificação Usuario;2015-11-16 16:18:23;2015-09-04 11:17:28;2018-07-17 09:50:54;1
12360;17;GSAN;Evolutiva;Cancelada;Aprovar Especificação Usuario;Cancelada;2018-07-17 09:50:54;2015-09-04 11:17:28;2018-07-17 09:50:54;1
12361;17;GSAN;Evolutiva;Cancelada;Registrada;Em análise;2015-09-21 11:06:24;2015-09-04 11:18:22;2018-07-17 09:34:53;1
12361;17;GSAN;Evolutiva;Cancelada;Em análise;Aguardando Informação;2015-09-21 13:49:14;2015-09-04 11:18:22;2018-07-17 09:34:53;1
12361;17;GSAN;Evolutiva;Cancelada;Aguardando Informação;Informação retornada;2015-11-04 14:48:13;2015-09-04 11:18:22;2018-07-17 09:34:53;1
12361;17;GSAN;Evolutiva;Cancelada;Informação retornada;Em análise;2015-11-10 16:39:37;2015-09-04 11:18:22;2018-07-17 09:34:53;1
12361;17;GSAN;Evolutiva;Cancelada;Em análise;Aguardando Informação;2015-11-11 11:07:57;2015-09-04 11:18:22;2018-07-17 09:34:53;1
12361;17;GSAN;Evolutiva;Cancelada;Aguardando Informação;Informação retornada;2015-11-17 09:03:17;2015-09-04 11:18:22;2018-07-17 09:34:53;1
12361;17;GSAN;Evolutiva;Cancelada;Informação retornada;Em análise;2015-11-17 10:55:28;2015-09-04 11:18:22;2018-07-17 09:34:53;1
12361;17;GSAN;Evolutiva;Cancelada;Em análise;Aprovar Especificação Usuario;2015-12-03 16:41:03;2015-09-04 11:18:22;2018-07-17 09:34:53;1
12361;17;GSAN;Evolutiva;Cancelada;Aprovar Especificação Usuario;Cancelada;2018-07-17 09:34:53;2015-09-04 11:18:22;2018-07-17 09:34:53;1
12447;17;GSAN;Evolutiva;Em análise;Registrada;Em análise;2016-11-04 09:01:31;2015-09-21 10:39:56;2018-05-28 10:59:58;1
12487;17;GSAN;Evolutiva;Iniciada;Registrada;Em análise;2015-11-11 13:49:43;2015-09-25 14:09:30;2017-03-06 10:32:50;1
12487;17;GSAN;Evolutiva;Iniciada;Em análise;Iniciada;2015-11-11 14:05:01;2015-09-25 14:09:30;2017-03-06 10:32:50;1
12538;17;GSAN;Evolutiva;Em análise;Registrada;Em análise;2015-11-27 16:27:34;2015-10-01 09:01:23;2017-02-21 15:36:33;1
12539;17;GSAN;Evolutiva;Em análise;Registrada;Em análise;2017-02-20 11:10:29;2015-10-01 09:07:45;2017-02-21 15:36:34;1
12540;17;GSAN;Evolutiva;Informação retornada;Registrada;Em análise;2016-01-08 13:30:15;2015-10-01 09:14:06;2016-10-31 16:12:37;1
12540;17;GSAN;Evolutiva;Informação retornada;Em análise;Aguardando Informação;2016-01-08 13:30:46;2015-10-01 09:14:06;2016-10-31 16:12:37;1
12540;17;GSAN;Evolutiva;Informação retornada;Aguardando Informação;Informação retornada;2016-10-31 16:12:37;2015-10-01 09:14:06;2016-10-31 16:12:37;1
12579;17;GSAN;Corretiva;Iniciada;Registrada;Em análise;2015-10-02 09:27:01;2015-10-02 09:17:40;2015-10-02 09:32:50;1
12579;17;GSAN;Corretiva;Iniciada;Em análise;Iniciada;2015-10-02 09:32:50;2015-10-02 09:17:40;2015-10-02 09:32:50;1
12759;17;GSAN;Corretiva;Iniciada;Registrada;Em análise;2015-11-03 14:22:49;2015-11-03 14:22:01;2015-12-03 08:37:55;1
12759;17;GSAN;Corretiva;Iniciada;Em análise;Analisada;2015-11-03 14:23:47;2015-11-03 14:22:01;2015-12-03 08:37:55;1
12759;17;GSAN;Corretiva;Iniciada;Analisada;Iniciada;2015-12-03 08:36:44;2015-11-03 14:22:01;2015-12-03 08:37:55;1
12872;17;GSAN;Corretiva;Teste da Mudança;Registrada;Em análise;2016-12-13 16:51:32;2015-11-16 11:28:40;2017-08-18 14:24:40;1
12872;17;GSAN;Corretiva;Teste da Mudança;Em análise;Analisada;2016-12-14 13:49:35;2015-11-16 11:28:40;2017-08-18 14:24:40;1
12872;17;GSAN;Corretiva;Teste da Mudança;Analisada;Iniciada;2017-01-12 15:54:47;2015-11-16 11:28:40;2017-08-18 14:24:40;1
12872;17;GSAN;Corretiva;Teste da Mudança;Iniciada;Inspeção Qualidade;2017-01-12 15:58:43;2015-11-16 11:28:40;2017-08-18 14:24:40;1
12872;17;GSAN;Corretiva;Teste da Mudança;Inspeção Qualidade;Teste da Mudança;2017-02-09 09:47:25;2015-11-16 11:28:40;2017-08-18 14:24:40;1
12916;38;BI Desenvolvimento;Evoluções e Novos Projetos;Analisada;Registrada;Em análise;2015-11-25 16:40:24;2015-11-24 10:17:38;2018-05-02 09:46:44;1
12916;38;BI Desenvolvimento;Evoluções e Novos Projetos;Analisada;Em análise;Analisada;2017-07-24 16:14:42;2015-11-24 10:17:38;2018-05-02 09:46:44;1
13130;3;Alpha;Evoluções e Novos Projetos;Cancelada;Iniciada;Pronta para Homologação;2016-02-23 10:31:13;2016-01-12 15:19:15;2018-01-02 14:53:29;1
13130;3;Alpha;Evoluções e Novos Projetos;Cancelada;Pronta para Homologação;Cancelada;2018-01-02 14:53:29;2016-01-12 15:19:15;2018-01-02 14:53:29;1
13421;41;Departamentais;Evolutiva;Iniciada;Registrada;Em análise;2016-04-05 11:13:36;2016-03-21 11:11:22;2016-04-20 10:27:40;1
13421;41;Departamentais;Evolutiva;Iniciada;Em análise;Iniciada;2016-04-05 11:16:12;2016-03-21 11:11:22;2016-04-20 10:27:40;1
13431;61;SIG - Sistema Informações Gerenciais;Atendimento;Aguardando Informação;Registrada;Em análise;2017-09-29 15:43:23;2016-03-21 15:47:19;2017-09-29 15:46:05;1
13431;61;SIG - Sistema Informações Gerenciais;Atendimento;Aguardando Informação;Em análise;Aguardando Informação;2017-09-29 15:46:05;2016-03-21 15:47:19;2017-09-29 15:46:05;1
13451;17;GSAN;Corretiva;Cancelada;Registrada;Em análise;2016-03-29 12:03:55;2016-03-29 11:30:57;2018-05-11 15:58:45;1
13451;17;GSAN;Corretiva;Cancelada;Em análise;Iniciada;2016-03-29 12:12:44;2016-03-29 11:30:57;2018-05-11 15:58:45;1
13451;17;GSAN;Corretiva;Cancelada;Iniciada;Inspeção Qualidade;2016-05-06 13:48:51;2016-03-29 11:30:57;2018-05-11 15:58:45;1
13451;17;GSAN;Corretiva;Cancelada;Inspeção Qualidade;Teste da Mudança;2016-05-06 13:49:05;2016-03-29 11:30:57;2018-05-11 15:58:45;1
13451;17;GSAN;Corretiva;Cancelada;Teste da Mudança;Cancelada;2018-05-11 15:58:46;2016-03-29 11:30:57;2018-05-11 15:58:45;1
13465;17;GSAN;Desenvolvimento;Iniciada;Registrada;Em análise;2016-03-30 14:05:19;2016-03-30 14:05:03;2016-05-19 16:19:13;1
13465;17;GSAN;Desenvolvimento;Iniciada;Em análise;Analisada;2016-03-30 17:45:26;2016-03-30 14:05:03;2016-05-19 16:19:13;1
13465;17;GSAN;Desenvolvimento;Iniciada;Analisada;Iniciada;2016-05-19 16:19:13;2016-03-30 14:05:03;2016-05-19 16:19:13;1
13506;17;GSAN;Evolutiva;Cancelada;Em análise;Analisada;2016-04-06 10:23:47;2016-04-06 10:23:26;2018-06-28 11:07:28;1
13506;17;GSAN;Evolutiva;Cancelada;Analisada;Iniciada;2016-05-02 15:37:37;2016-04-06 10:23:26;2018-06-28 11:07:28;1
13506;17;GSAN;Evolutiva;Cancelada;Iniciada;Teste da Mudança;2016-08-23 16:40:03;2016-04-06 10:23:26;2018-06-28 11:07:28;1
13506;17;GSAN;Evolutiva;Cancelada;Teste da Mudança;Cancelada;2018-06-28 11:07:28;2016-04-06 10:23:26;2018-06-28 11:07:28;1
13593;17;GSAN;Evolutiva;Homologada;Registrada;Em análise;2016-06-09 15:25:03;2016-04-27 11:09:31;2018-04-19 16:42:49;1
13593;17;GSAN;Evolutiva;Homologada;Em análise;Aguardando Informação;2016-06-09 15:25:49;2016-04-27 11:09:31;2018-04-19 16:42:49;1
13593;17;GSAN;Evolutiva;Homologada;Aguardando Informação;Informação retornada;2016-10-31 16:16:21;2016-04-27 11:09:31;2018-04-19 16:42:49;1
13593;17;GSAN;Evolutiva;Homologada;Informação retornada;Em análise;2017-03-20 16:50:02;2016-04-27 11:09:31;2018-04-19 16:42:49;1
13593;17;GSAN;Evolutiva;Homologada;Em análise;Aguardando Informação;2017-04-18 15:34:36;2016-04-27 11:09:31;2018-04-19 16:42:49;1
13593;17;GSAN;Evolutiva;Homologada;Aguardando Informação;Informação retornada;2017-08-01 10:57:48;2016-04-27 11:09:31;2018-04-19 16:42:49;1
13593;17;GSAN;Evolutiva;Homologada;Informação retornada;Em análise;2017-09-18 17:09:47;2016-04-27 11:09:31;2018-04-19 16:42:49;1
